id,set_id,worker_id,description,first,second,third,first_addr,second_addr,third_addr
20,27,6,Which Harry Potter book is the best?,103,100,99,https://s3.amazonaws.com/popop-uploads/75d1f30dc2294db4b99e5ed663cda982.jpeg,https://s3.amazonaws.com/popop-uploads/4e6fab97e7104c9aadbae745f822dae1.jpeg,https://s3.amazonaws.com/popop-uploads/99a1f6cb24394bb2a33cc89045e6829f.jpeg
21,16,6,Which cookie looks the best?,67,68,66,https://s3.amazonaws.com/popop-uploads/bd7ae4ac1422427dbbbe8649b2f48ec4.jpeg,https://s3.amazonaws.com/popop-uploads/a741f27d03de472e9ddfba1bc7609cd5.jpeg,https://s3.amazonaws.com/popop-uploads/0ae217a1e3e54afe82c5bdce94c02837.jpeg
22,13,7,Which is the prettiest button?,57,55,56,https://s3.amazonaws.com/popop-uploads/53f0ebcf4e714ff0bf571befa306d7e2.png,https://s3.amazonaws.com/popop-uploads/82860648637f4975a6e0c3fc3072d998.png,https://s3.amazonaws.com/popop-uploads/3229341cf2d7400c8b0c38e4ace14778.png
23,17,7,What is Jennifer Aniston's best look?,71,70,69,https://s3.amazonaws.com/popop-uploads/81ba4a8173a84691b707e0d3ae7eb02e.jpeg,https://s3.amazonaws.com/popop-uploads/a2268db5692d45a7aee660361dfa9e5b.jpeg,https://s3.amazonaws.com/popop-uploads/468e62d721ba482ea1cfacc394aaaf3b.jpeg
24,28,7,Which social media platforms are the most helpful for everyday life?,111,107,115,https://s3.amazonaws.com/popop-uploads/25f1fc382b284e32bf8f3ee6cdef5dad.png,https://s3.amazonaws.com/popop-uploads/b60f6d4ba0a7478f89279e4eac2b7404.png,https://s3.amazonaws.com/popop-uploads/49a53e034b7e40319b059298f226599b.png
25,18,8,What is the prettiest sunset?,74,72,73,https://s3.amazonaws.com/popop-uploads/51e5fdd893854fba9076201e15923b6d.jpeg,https://s3.amazonaws.com/popop-uploads/3cbaaf0500e942f7a0b6239097e84b84.jpeg,https://s3.amazonaws.com/popop-uploads/8601c46a463b45f8ad19d59083859875.jpeg
26,28,7,Which social media platforms are the most helpful for everyday life?,108,113,114,https://s3.amazonaws.com/popop-uploads/95b0ca44bcb146b5b8225abc18bdb173.png,https://s3.amazonaws.com/popop-uploads/9c7363177beb4e62bf19d06e9fd0af47.png,https://s3.amazonaws.com/popop-uploads/1e70a81ae63846708f837294df75a1e5.png
27,13,8,Which is the prettiest button?,56,55,54,https://s3.amazonaws.com/popop-uploads/3229341cf2d7400c8b0c38e4ace14778.png,https://s3.amazonaws.com/popop-uploads/82860648637f4975a6e0c3fc3072d998.png,https://s3.amazonaws.com/popop-uploads/734d169b6e0b49e0afe4b03b55b2bb9d.png
28,32,7,I want my photos to be sorted by most exciting to least exciting,135,134,136,https://s3.amazonaws.com/popop-uploads/22b30763181049d5a3eda22e8ba60f3a.jpeg,https://s3.amazonaws.com/popop-uploads/42e7cd55a2104dcda4767bd1937e252f.jpeg,https://s3.amazonaws.com/popop-uploads/764905dbfdd9460caaaf4b378603f59e.jpeg
29,9,8,Most enjoy spending time with students from which school?,37,40,38,https://s3.amazonaws.com/popop-uploads/7b9edef7db8047b18cdc43f1e7651346.png,https://s3.amazonaws.com/popop-uploads/28875a3b952b445fbd8e76c33e0027b8.png,https://s3.amazonaws.com/popop-uploads/a40e76220c6b4d5d96930971e2c1bb01.png
