id,set_id,reports,address
61,14,0,https://s3.amazonaws.com/popop-uploads/e2bfe7fbdc4648fe9de3c8ade1e0ad20.jpeg
62,14,0,https://s3.amazonaws.com/popop-uploads/ee06309c40874c9c9aba7f9f5eedcdee.png
63,15,0,https://s3.amazonaws.com/popop-uploads/8e3940844ccb46e2bfa6f1491d1a21a4.jpeg
64,15,0,https://s3.amazonaws.com/popop-uploads/7cd2383df5cd49a9a9f77ff9d36b1153.jpeg
65,15,0,https://s3.amazonaws.com/popop-uploads/4ab25995a93748cd9b3ed7f2fa36d70e.jpeg
66,16,0,https://s3.amazonaws.com/popop-uploads/0ae217a1e3e54afe82c5bdce94c02837.jpeg
67,16,0,https://s3.amazonaws.com/popop-uploads/bd7ae4ac1422427dbbbe8649b2f48ec4.jpeg
68,16,0,https://s3.amazonaws.com/popop-uploads/a741f27d03de472e9ddfba1bc7609cd5.jpeg
69,17,0,https://s3.amazonaws.com/popop-uploads/468e62d721ba482ea1cfacc394aaaf3b.jpeg
70,17,0,https://s3.amazonaws.com/popop-uploads/a2268db5692d45a7aee660361dfa9e5b.jpeg
71,17,0,https://s3.amazonaws.com/popop-uploads/81ba4a8173a84691b707e0d3ae7eb02e.jpeg
72,18,0,https://s3.amazonaws.com/popop-uploads/3cbaaf0500e942f7a0b6239097e84b84.jpeg
73,18,0,https://s3.amazonaws.com/popop-uploads/8601c46a463b45f8ad19d59083859875.jpeg
74,18,0,https://s3.amazonaws.com/popop-uploads/51e5fdd893854fba9076201e15923b6d.jpeg
75,19,0,https://s3.amazonaws.com/popop-uploads/e2d2124a4da94f838a4bf147666ffd1a.jpeg
76,19,0,https://s3.amazonaws.com/popop-uploads/2ac818d12c3d45e0a1b3d601bb3785e5.jpeg
77,19,0,https://s3.amazonaws.com/popop-uploads/87cf0eda15cc4812934dffacd8093dc4.jpeg
78,20,0,https://s3.amazonaws.com/popop-uploads/969cc88f92874cc7a2d79a2a5d97dcee.jpeg
79,20,0,https://s3.amazonaws.com/popop-uploads/d7038848d0214f169e17288a3c403a80.jpeg
80,20,0,https://s3.amazonaws.com/popop-uploads/b4586f8486674de7a17e10e4dc315480.jpeg
81,21,0,https://s3.amazonaws.com/popop-uploads/c541221102704de1a300520e78483bd3.png
82,21,0,https://s3.amazonaws.com/popop-uploads/751f67d88eb5428b9da091c9b609a48f.png
83,21,0,https://s3.amazonaws.com/popop-uploads/55c0072c62d94db7b5b4b1b23bd7645b.jpeg
84,22,0,https://s3.amazonaws.com/popop-uploads/172d15eacb9c441697c26c8954e52967.jpeg
